SKU,カテゴリ,部門,名前,バリエーション,価格,税,バーコード,種別,種類,原価,外部連携:部門コード,外部連携:部門名,外部連携:グループコード,外部連携:グループ名,外部連携:値割引コード,外部連携:テイクアウト,外部連携:入金コード,外部連携:出金コード,金額入力必須,店員確認必須
2900000107014 ,0701 嗜好品,0701 嗜好品,* 0701 嗜好品,,0,8%,2.9E+12,,general,,07,※食品・菓子,01,01,,,,,X,
4901085632482 ,0701 嗜好品,0701 嗜好品,* お～いお茶エコティーバッグほうじ茶２０袋,,28997,8%,4.90109E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901111959798 ,0701 嗜好品,0701 嗜好品,* ブレンディスティックカフェオレ８本,,285,8%,4.90111E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901201103797 ,0701 嗜好品,0701 嗜好品,* ザ・ブレンド１１４瓶,,747,8%,4.9012E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901372285681 ,0701 嗜好品,0701 嗜好品,* ドリップオンバラエティパック１２杯分,,953,8%,4.90137E+12,,general,,07,※食品・菓子,01,01,,,,,,
4902220344031 ,0701 嗜好品,0701 嗜好品,* ＣＯスティックシュガー,,110,8%,4.90222E+12,,general,,07,※食品・菓子,01,01,,,,,,
4902220354313 ,0701 嗜好品,0701 嗜好品,* ＣＯ紅茶ティーバッグ,,375,8%,4.90222E+12,,general,,07,※食品・菓子,01,01,,,,,,
4970690048513 ,0701 嗜好品,0701 嗜好品,* 小川珈琲　スペシャル,,756,8%,4.97069E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901046661018 ,0701 嗜好品,0701 嗜好品,* 伊右衛門抹茶入り煎茶 ティーバッグ２０個入,,298,8%,4.90105E+12,,general,,07,※食品・菓子,01,01,,,,,,
4902220195763 ,0701 嗜好品,0701 嗜好品,* ＣＯオリジナルブレンドコーヒ,,645,8%,4.90222E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901305410975 ,0701 嗜好品,0701 嗜好品,* 辻利　グリーンレモンティー,,277,8%,4.90131E+12,,general,,07,※食品・菓子,01,01,,,,,,
4901305410982 ,0701 嗜好品,0701 嗜好品,* 辻利　抹茶ラテ１０Ｐ,,487,8%,4.90131E+12,,general,,07,※食品・菓子,01,01,,,,,,
4932707232094 ,0701 嗜好品,0701 嗜好品,* コクと深みの香ばしブレンド,,380,8%,4.93271E+12,,general,,07,※食品・菓子,01,01,,,,,,
